gene_symbol_DLV,gene_symbol_original,gene_name,aeid,aenm,signal_direction,analysis_direction,assay_component_endpoint_desc,gene_direction
AR,AR,androgen receptor,1855,ACEA_AR_agonist_80hr,gain,positive,"Data from the assay component ACEA_AR_agonist_80hr was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, measures of the cells for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the geneAR 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",Activation
AR,AR,androgen receptor,1856,ACEA_AR_antagonist_80hr,NA,NA,"Data from the assay component ACEA_AR_agonist_80hr was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, measures of the cells for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene AR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",Inhibition
ESR1,ESR1,estrogen receptor 1,2,ACEA_ER_80hr,gain,positive,"Data from the assay component ACEA_ER_80hr was analyzed into 2 assay endpoints. 
This assay endpoint, ACEA_ER_80hr_Positive, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, measures of the cells for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""nuclear receptor"" intended target family, where the subfamily is ""steroidal"".",Activation
TP53,TP53,tumor protein p53,19,APR_HepG2_p53Act_1h_dn,loss,negative,"Data from the assay component APR_HepG2_p53Act_1hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_p53Act_1h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""tumor suppressor"".",Activation
TP53,TP53,tumor protein p53,20,APR_HepG2_p53Act_1h_up,gain,positive,"Data from the assay component APR_HepG2_p53Act_1hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_p53Act_1h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""tumor suppressor"".",Activation
TP53,TP53,tumor protein p53,39,APR_HepG2_p53Act_24h_dn,loss,negative,"Data from the assay component APR_HepG2_p53Act_24hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_p53Act_24h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""tumor suppressor"".",Activation
TP53,TP53,tumor protein p53,40,APR_HepG2_p53Act_24h_up,gain,positive,"Data from the assay component APR_HepG2_p53Act_24hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_p53Act_24h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""tumor suppressor"".",Activation
TP53,TP53,tumor protein p53,59,APR_HepG2_p53Act_72h_dn,loss,negative,"Data from the assay component APR_HepG2_p53Act_72hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_p53Act_72h_dn, was analyzed in the negative fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""tumor suppressor"".",Activation
TP53,TP53,tumor protein p53,60,APR_HepG2_p53Act_72h_up,gain,positive,"Data from the assay component APR_HepG2_p53Act_72hr was analyzed into 2 assay endpoints. 
This assay endpoint, APR_HepG2_p53Act_72h_up, was analyzed in the positive fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the ""dna binding"" intended target family, where the subfamily is ""tumor suppressor"".",Activation
AHR,AHR,aryl hydrocarbon receptor,1400,ATG_Ahr_CIS_dn,loss,negative,ATG_Ahr_CIS_dn was not developed or optimized to detect loss of signal. Use data with caution.,Activation
